duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_c[0], q_c[1], q_c[2], q_c[3], q_c[4], q_c[5], q_c[6],dq_m[0], dq_m[1], dq_m[2], dq_m[3], dq_m[4], dq_m[5], dq_m[6],dq_c[0], dq_c[1], dq_c[2], dq_c[3], dq_c[4], dq_c[5], dq_c[6],tau_m[0], tau_m[1], tau_m[2], tau_m[3], tau_m[4], tau_m[5], tau_m[6],sent commands,q_c[0], q_c[1], q_c[2], q_c[3], q_c[4], q_c[5], q_c[6],toolTobase_pos_c[0], toolTobase_pos_c[1], toolTobase_pos_c[2], toolTobase_pos_c[3], toolTobase_pos_c[4], toolTobase_pos_c[5], toolTobase_pos_c[6], toolTobase_pos_c[7], toolTobase_pos_c[8], toolTobase_pos_c[9], toolTobase_pos_c[10], toolTobase_pos_c[11], toolTobase_pos_c[12], toolTobase_pos_c[13], toolTobase_pos_c[14], toolTobase_pos_c[15],tau_c[0], tau_c[1], tau_c[2], tau_c[3], tau_c[4], tau_c[5], tau_c[6]
721007571355,1,0.0647687,0.587877,-0.000221708,0.996931,-0.0578685,1.63696,0.0615162,0.0645059,0.583855,-0.000221203,0.993434,-0.0574093,1.63691,0.0611689,0.0397935,0.0331613,-0.0010472,0.00523599,-0.015708,-0.0706858,0.00916298,0.000564848,0.0200584,-0.000113448,0.0245729,-0.00125125,-0.0375943,0.00154616,3.07511,-46.7523,0.147156,-17.1387,-1.92707,0.760803,0.68547,,0.0647687,0.587877,-0.000221708,0.996931,-0.0578685,1.63696,0.0615162,-0.997043,-0.00401631,-0.076738,0.548979,0.000860911,0.997987,-0.0634182,0.109288,0.0768382,-0.0632968,-0.995032,0.210232,0,0,0,1,0,0,0,0,0,0,0
721008571004,1,0.0648349,0.587958,-0.000222188,0.997013,-0.0579713,1.63703,0.0615989,0.064506,0.583907,-0.000221018,0.993502,-0.0574082,1.63696,0.0611664,0.0617847,0.0863938,-0.00628319,0.0942478,-0.102102,0.0903208,0.0890118,0.000165365,0.0472897,0.000143446,0.0623197,0.000751304,0.0360493,-0.00198495,3.31956,-45.7745,0.0982667,-16.8942,-2.0604,1.18747,0.52547,,0.0648349,0.587958,-0.000222188,0.997013,-0.0579713,1.63703,0.0615989,-0.997,-0.00404224,-0.0772926,0.548939,0.000911615,0.997953,-0.0639498,0.109277,0.0773928,-0.0638284,-0.994955,0.210175,0,0,0,1,0,0,0,0,0,0,0
721009570277,1,0.0648694,0.587994,-0.000221229,0.997027,-0.0579665,1.63697,0.0615968,0.064506,0.583926,-0.000221407,0.993523,-0.0574088,1.63691,0.0611697,0.0261799,0.0349066,0.00314159,0.00523599,0.019635,-0.0759218,-0.0287979,3.47616e-05,0.0225677,-0.000315239,0.0262828,-0.000439041,-0.0371098,0.0025475,3.51511,-46.5078,0.293822,-16.8942,-1.07373,0.654136,0.658803,,0.0648694,0.587994,-0.000221229,0.997027,-0.0579665,1.63697,0.0615968,-0.997028,-0.00401948,-0.0769381,0.54892,0.000883196,0.997976,-0.0635825,0.109279,0.077038,-0.0634615,-0.995006,0.210129,0,0,0,1,0,0,0,0,0,0,0
721010570080,1,0.0649185,0.588078,-0.000220749,0.997114,-0.0580357,1.63703,0.0616403,0.0645065,0.583979,-0.00022084,0.993593,-0.0574076,1.63696,0.061166,0.0492183,0.0968658,0.00418879,0.102625,-0.0772308,0.0759218,0.0575959,0.000363197,0.0493072,0.000445883,0.0638391,0.000980176,0.0372937,-0.00283071,3.22178,-45.6767,0.489378,-16.552,-1.0204,1.1608,0.578803,,0.0649185,0.588078,-0.000220749,0.997114,-0.0580357,1.63703,0.0616403,-0.996984,-0.00406673,-0.0774981,0.548877,0.000910701,0.997944,-0.0640832,0.109276,0.0775994,-0.0639605,-0.994931,0.210071,0,0,0,1,0,0,0,0,0,0,0
721011570808,1,0.0649365,0.588115,-0.000221948,0.997129,-0.0580048,1.63697,0.0616271,0.0645067,0.583997,-0.000221175,0.993612,-0.0574093,1.63691,0.0611678,0.00837758,0.0322886,-0.0020944,0.010472,0.0458149,-0.0746128,-0.0301069,0.000277465,0.0221824,-0.000228384,0.0255975,-0.00128343,-0.0370002,0.00118147,3.41733,-46.0678,0.636044,-16.4542,-0.407067,0.654136,0.658803,,0.0649365,0.588115,-0.000221948,0.997129,-0.0580048,1.63697,0.0616271,-0.997011,-0.00405403,-0.0771477,0.548856,0.000870096,0.99797,-0.0636869,0.109284,0.0772493,-0.0635636,-0.994984,0.210025,0,0,0,1,0,0,0,0,0,0,0
721012571237,1,0.0649713,0.588196,-0.000222907,0.997216,-0.0580621,1.63703,0.0616591,0.0645055,0.584051,-0.000221635,0.993682,-0.057409,1.63696,0.0611649,0.0397935,0.0820305,-0.00523599,0.0973894,-0.0719948,0.0798488,0.0458149,-0.00100096,0.0499066,-0.00042789,0.0641574,7.50476e-05,0.0370773,-0.00229796,3.124,-44.9923,1.2716,-16.3075,-0.353733,1.10747,0.498803,,0.0649713,0.588196,-0.000222907,0.997216,-0.0580621,1.63703,0.0616591,-0.996968,-0.0041059,-0.0777088,0.548813,0.000891437,0.997939,-0.0641648,0.109284,0.0778121,-0.0640395,-0.994909,0.209967,0,0,0,1,0,0,0,0,0,0,0
721013569929,1,0.064977,0.588234,-0.000222907,0.997234,-0.0580228,1.63696,0.0616301,0.064506,0.584069,-0.000221078,0.993702,-0.0574095,1.63691,0.0611684,-0.0010472,0.0357792,0.0010472,0.0136136,0.0536689,-0.0850848,-0.0523599,0.000255054,0.022503,0.000421958,0.0258762,-0.000401158,-0.0361697,0.0026914,3.02622,-45.7745,1.02716,-16.1609,0.0195999,0.734136,0.60547,,0.064977,0.588234,-0.000222907,0.997234,-0.0580228,1.63696,0.0616301,-0.996995,-0.0040977,-0.0773588,0.548792,0.000844851,0.997965,-0.0637507,0.109292,0.0774627,-0.0636244,-0.994963,0.209922,0,0,0,1,0,0,0,0,0,0,0
721014573976,1,0.0649993,0.588317,-0.000223626,0.99732,-0.0580726,1.63702,0.0616555,0.0645065,0.584121,-0.000220795,0.993769,-0.0574087,1.63697,0.0611643,0.0178024,0.0898845,0.0010472,0.0984366,-0.0536689,0.0706858,0.0366519,0.000445678,0.0474562,0.000302323,0.0615522,0.000557367,0.0390933,-0.00323126,2.87956,-44.699,1.2716,-15.9653,0.0462666,1.26747,0.498803,,0.0649993,0.588317,-0.000223626,0.99732,-0.0580726,1.63702,0.0616555,-0.996951,-0.00415029,-0.0779197,0.54875,0.000864483,0.997936,-0.0642144,0.109291,0.0780254,-0.0640859,-0.994889,0.209864,0,0,0,1,0,0,0,0,0,0,0
721015572374,1,0.0649957,0.588356,-0.000225064,0.997339,-0.0580339,1.63695,0.0616205,0.0645063,0.58414,-0.000221376,0.993788,-0.0574102,1.63692,0.0611668,-0.00837758,0.0349066,-0.0020944,0.0115192,0.0497419,-0.0837758,-0.0418879,-6.08072e-05,0.022716,-0.000460089,0.0247988,-0.00117726,-0.0356318,0.00173771,2.83067,-44.9434,1.12493,-16.3564,0.4196,0.78747,0.712136,,0.0649957,0.588356,-0.000225064,0.997339,-0.0580339,1.63695,0.0616205,-0.996978,-0.00414068,-0.0775705,0.548729,0.00081859,0.997963,-0.0637917,0.109297,0.0776767,-0.0636625,-0.994944,0.209818,0,0,0,1,0,0,0,0,0,0,0
721016571651,1,0.0650123,0.588444,-0.000226262,0.997429,-0.0580857,1.63701,0.0616484,0.0645055,0.584193,-0.000221663,0.993856,-0.0574088,1.63697,0.0611656,0.0230383,0.0994838,-0.0010472,0.103673,-0.0733038,0.0615229,0.0392699,-0.000738638,0.0488988,-0.000310427,0.0614838,0.00100409,0.0376421,-0.000799784,3.07511,-43.7212,1.02716,-16.112,0.232933,1.3208,0.44547,,0.0650123,0.588444,-0.000226262,0.997429,-0.0580857,1.63701,0.0616484,-0.996934,-0.00418947,-0.0781336,0.548688,0.000841934,0.997933,-0.064251,0.109293,0.0782413,-0.0641198,-0.99487,0.209759,0,0,0,1,0,0,0,0,0,0,0
